Operation,Strategy,BlockSize,FileSizeInBytes,DurationInMs
WRITE,BlockByBlockWithBufferedStream,500,10485760,23
WRITE,BlockByBlockWithBufferedStream,50,10485760,41
WRITE,BlockByBlockWithBufferedStream,5,10485760,71
WRITE,ByteByByteWithBufferedStream,0,10485760,175
WRITE,BlockByBlockWithoutBufferedStream,500,10485760,65
WRITE,BlockByBlockWithoutBufferedStream,50,10485760,373
WRITE,BlockByBlockWithoutBufferedStream,5,10485760,3669
WRITE,ByteByByteWithoutBufferedStream,0,10485760,16204
READ,BlockByBlockWithBufferedStream,500,10485760,14
READ,BlockByBlockWithBufferedStream,50,10485760,22
READ,BlockByBlockWithBufferedStream,5,10485760,34
READ,ByteByByteWithBufferedStream,0,10485760,85
READ,BlockByBlockWithoutBufferedStream,500,10485760,46
READ,BlockByBlockWithoutBufferedStream,50,10485760,500
READ,BlockByBlockWithoutBufferedStream,5,10485760,2308
READ,ByteByByteWithoutBufferedStream,0,10485760,10054
